comment,label
সাকিব শুনলে হেঁডা ভাংবো,political
এটা হচ্ছে হিরো আলমের পার্সোনাল সাংবাদিক,political
ভোট চোর হাসিনা,political
।টিকেট নিয়া গেলো আইসা।।কনফার্ম এমপি।,political
ওর এগুলা যে নাটক এইটা আওয়ামী লীগ এর বুঝা উচিত,political
এখনো এই সব বিনোদন মার্কা মেয়েদের রাজনীতি তে ঢুকতে দেওয়া জাবে না,political
বঙ্গবন্ধুর রহমতেই প্রার্থীতা ফিরে পেয়েছে।,political
নর্তকীরা দেশ চালাতে চায়,political
মনোনয়ন না পেলে যেতোনা,political
"অযোগ্যরা যখনি পদ পেতে শুরু করলো,তখন থেকে দেশ সংকটে",political
দেশটা এখন যাত্রাপালার নর্তকী এবং কমেডিয়ানরা শাসন করতে চায়।,political
এমপি হতে পারলেই শতকোটি টাকার মালিক হওয়ার সম্ভাবনা রয়েছে।,political
"এই ভয়েই নমিনেশন দেয়া হয়েছে, না হয় বঙ্গবন্ধুর গোষ্ঠীসহ উদ্ধার করে দিত ",political
মনোনয়ন পত্র পাওয়ার ধান্দা,political
অর যে কয়জন কর্মি সে কয়জনের ভোট পাবে কিনা সেটাই সন্দেহ,political
ওনি বঙ্গবন্ধু পূজারি হ য়ে গেছে,political
সংসদের মতো পবিত্র স্থান এদের মত নর্তকীরাই নষ্ট করল,political
এগুলো হচ্ছে সুবিধাবাদী আওয়ামীলীগ।,political
হাজার হাজার নেতা কর্মী সাথে নিয়ে বঙ্গবন্ধুর সমাধিতে ফুল দিলেন নাউকা মাহি!,political
আমাদের দেশের দেশ পরিচালনা দেখে হা হা হাসি পায় কেনো জানি,political
"রাজনৈতিক মাঠে, অভিনয় চলে না,,, গুটিটা ভালোই চালছে,, কিন্তু কাজ হবে না মনে হয়,",political
"আর কত তেল মারবে,যাকে তাকে নৌকার মাঝি বানানো যায় না।",political
এইটা মুধু নির্বাচনের আগ পর্যন্ত এর পর ক্ষতম আমল করা শেষ,political
বিএনপি থেকে থেকে যারা চলে এসেছে তারা অভিসাপ থেকে মুক্ত হয়েছেন।,political
বর্তমানে জারাই আওয়ামী লীগের বিরুদ্ধে কিছু বলবে তারাই জেল জুলুমের শিকার হবে?,political
দুর হ গুজব পাটি,political
আপনিত গতি হারিয়ে পেলেচেন,political
রাজাক সাহবের কথেয় মনে হতেসে আদালত আওমী লীগের পাটী ওফীস,political
শুধু গলাবাজি দিয়ে আন্দোলন বা রাজনীতি হয়???,political
এটি বাংলাদেশে রাজনীতি।,political
"বিএনপির সাথে থাকলে বীর বিক্রম, বীর উত্তম আরো কত কি..... 

ছেড়ে গেলে মীরজাফর..... অধম ...... এই হলো বিএনপির চারিত্রিক বৈশিষ্ট্য",political
"যে দেশে তারেক রহমান নির্বাচন করতে পারবে না সে দেশে নির্বাচনে জিতে কালু ধলুকে প্রধানমন্ত্রী হতে দেয়া যায় না। 
তাই ভাইয়া না আসা পর্যন্ত আমেরিকার প্রেসক্রিপশন অনুযায়ী ভোট চাইনা, আজীবন জাতীয় অথবা তত্ত্বাবধায়ক সরকার চাই।
ভাইয়া বাঁচুক, আমরা বাঁচি, 
দেশ ধংস হয় হোক, তবু নির্বাচন চাই না।",political
মাতারিয়া তো লাভ করে কে তুই কি এদেশের,political
"এদের পরিণতি আগামী প্রজন্ম দেখবে আমরা হয়তো না দেখতে পারি আগামী প্রজন্ম এদেরকে ওয়াক থু মারবে।
বাংলাদেশ জাতীয়তাবাদী দল বিএনপি জনগণের দল এই দল কখনো কেউ ভাঙতে পারবে না।
বরং আওয়ামী লীগ ভেঙ্গে খানখান হয়ে যাবে।
অস্তিত্ব পর্যন্ত থাকবে না আওয়ামী লীগের নাম নিশানা সম্পূর্ণ মুছে দেওয়া হবে বাংলার ইতিহাস থেকে ইনশাআল্লাহ।",political
"মেডম রুমি ফারহানা, আওয়ামিলীগের ১৫  টা বৎসর লেগেছে, শাহা জাহান ওমরকে নৌকায় তুলতে বহু কষ্ট হয়েছে।",political
"দলের হলে জামিনে মুক্তি, দলের ও মতের বিরুদ্ধে হলে জেলখানার মধ্যে?",political
"আওয়ামী লীগে যোগ দিলে মনে  হয় ঢাকা গুলিস্তান হজ্জ করে, হাজী সেজে দোয়া তুলসী পাতার মত হয়ে গেছে।",political
কোন দলের প্রতি আস্থা নাই।দুদলই অগনতান্ত্রিক।,political
দলের সঙ্গে বেইমানি মোনাফেক,political
"সরকারকে শুধু সহযোগিতাই করেন নাই, আওয়ামিলীগে যোগদান করেছেন বলেই জামিন হয়েছে।",political
বি এন পি দলটি গঠিত হয়েছিল কাদের নিয়ে?,political
বিচার বিভাগ স্বাধীন না এটা বড় উদাহরণ।  তাই সেদিন বিচারকের মুখে জুতা মারাকে স্বাগতম জানানো উচিৎ,political
বিএনপি নেত্রী থেকে  খবর পরা এখন কাজ,political
সৈরাসার হাছিনার লোক করে কাছ থেকে আর কি আসা করা য়ায,political
ধন‍্যবাদ।জিয়ার।সৈনিক,political
আপা আসন নাম্বার কত,political
ভোট চোর সৈরাচার আওয়ামী লীগ সরকার নিপাত যাক গনতন্ত্র মুক্তি পাক,political
ভোট চোর সৈরাচার আওয়ামী লীগ সরকার নিপাত যাক গনতন্ত্র মুক্তি পাক♥️♥️♥️,political
এই মহিলাকে থামানোর কি বিএনপিতে কেউ নাই?,political
